1.3980 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
41.6419 	EXP 	fixation: autoDraw = False
41.6419 	EXP 	grating: autoDraw = True
41.9589 	EXP 	grating: autoDraw = False
42.5252 	EXP 	New trial (rep=15, index=0): None
42.5279 	DATA 	Keypress: down
42.5334 	EXP 	fixation: autoDraw = False
42.5334 	EXP 	grating: autoDraw = False
42.5334 	EXP 	grating: ori = 0.0
42.5334 	EXP 	fixation: autoDraw = True
43.5255 	EXP 	grating: autoDraw = True
43.5381 	EXP 	fixation: autoDraw = False
43.8428 	EXP 	grating: autoDraw = False
44.3290 	EXP 	New trial (rep=16, index=0): None
44.3317 	DATA 	Keypress: up
44.3376 	EXP 	fixation: autoDraw = False
44.3376 	EXP 	grating: autoDraw = False
44.3376 	EXP 	grating: ori = 0.0
44.3376 	EXP 	fixation: autoDraw = True
45.3384 	EXP 	fixation: autoDraw = False
45.3384 	EXP 	grating: autoDraw = True
45.6419 	EXP 	grating: autoDraw = False
46.1421 	EXP 	New trial (rep=17, index=0): None
46.1448 	DATA 	Keypress: up
46.1500 	EXP 	fixation: autoDraw = False
46.1500 	EXP 	grating: autoDraw = False
46.1500 	EXP 	grating: ori = -3.0
46.1500 	EXP 	fixation: autoDraw = True
47.1418 	EXP 	grating: autoDraw = True
47.1549 	EXP 	fixation: autoDraw = False
47.4593 	EXP 	grating: autoDraw = False
48.0423 	EXP 	New trial (rep=18, index=0): None
48.0449 	DATA 	Keypress: down
48.0594 	EXP 	fixation: autoDraw = False
48.0594 	EXP 	grating: autoDraw = False
48.0594 	EXP 	grating: ori = 0.0
48.0594 	EXP 	fixation: autoDraw = True
49.0586 	EXP 	grating: autoDraw = True
49.0755 	EXP 	fixation: autoDraw = False
49.3549 	EXP 	grating: autoDraw = False
49.8254 	EXP 	New trial (rep=19, index=0): None
49.8280 	DATA 	Keypress: down
49.8335 	EXP 	fixation: autoDraw = False
49.8335 	EXP 	grating: autoDraw = False
49.8335 	EXP 	grating: ori = 1.0
49.8335 	EXP 	fixation: autoDraw = True
50.8259 	EXP 	grating: autoDraw = True
50.8382 	EXP 	fixation: autoDraw = False
51.1431 	EXP 	grating: autoDraw = False
51.5467 	EXP 	New trial (rep=20, index=0): None
51.5492 	DATA 	Keypress: down
51.5581 	EXP 	fixation: autoDraw = False
51.5581 	EXP 	grating: autoDraw = False
51.5581 	EXP 	grating: ori = -3.0
51.5581 	EXP 	fixation: autoDraw = True
52.5587 	EXP 	fixation: autoDraw = False
52.5587 	EXP 	grating: autoDraw = True
52.8757 	EXP 	grating: autoDraw = False
53.6596 	EXP 	New trial (rep=21, index=0): None
53.6625 	DATA 	Keypress: down
53.6761 	EXP 	fixation: autoDraw = False
53.6761 	EXP 	grating: autoDraw = False
53.6761 	EXP 	grating: ori = 0.0
53.6761 	EXP 	fixation: autoDraw = True
54.6762 	EXP 	grating: autoDraw = True
54.6925 	EXP 	fixation: autoDraw = False
54.9718 	EXP 	grating: autoDraw = False
55.2423 	EXP 	New trial (rep=22, index=0): None
55.2448 	DATA 	Keypress: up
55.2500 	EXP 	fixation: autoDraw = False
55.2500 	EXP 	grating: autoDraw = False
55.2500 	EXP 	grating: ori = -5.0
55.2500 	EXP 	fixation: autoDraw = True
